,date,rf,price,shift_1,ret,excess_ret,cumulative_excess_ret,log_cumulative_excess_return
200,2020-10-16,0.0011,40.7,40.84,-0.003428011753183167,-0.004528011753183167,-0.7188948195372323,-0.004538294249652131
201,2020-10-19,0.0011,40.69,40.7,-0.0002457002457003714,-0.0013457002457003715,-0.7192731028476487,-0.0013466065134100091
202,2020-10-20,0.001,41.37,40.69,0.016711722782010316,0.015711722782010315,-0.714862399662137,0.015589571475931319
203,2020-10-21,0.001,39.88,41.37,-0.036016437031665335,-0.037016437031665336,-0.7254171776904037,-0.037718935898388706
204,2020-10-22,0.0009,40.46,39.88,0.01454363089267799,0.013643630892677991,-0.7216708710133418,0.013551394572590691
205,2020-10-23,0.001,39.73,40.46,-0.018042511122095994,-0.019042511122095995,-0.7269709565476735,-0.019226154832901354
206,2020-10-26,0.0011,38.39,39.73,-0.03372766171658687,-0.03482766171658687,-0.7364799197118345,-0.03544860469352096
207,2020-10-27,0.001,39.34,38.39,0.024746027611357198,0.023746027611357197,-0.7302223646091646,0.023468475944507627
208,2020-10-28,0.001,37.27,39.34,-0.05261820030503305,-0.05361820030503305,-0.7446873559013686,-0.05510919759441957
209,2020-10-29,0.0009,35.94,37.27,-0.03568553796619279,-0.03658553796619279,-0.7540281063352882,-0.03727157344570098
210,2020-10-30,0.0009,35.64,35.94,-0.008347245409014947,-0.009247245409014946,-0.7563026687997259,-0.009290266606615694
211,2020-11-02,0.0009,36.6,35.64,0.02693602693602696,0.026036026936026958,-0.7499577585203576,0.02570286010483258
212,2020-11-03,0.001,37.44,36.6,0.022950819672131046,0.021950819672131045,-0.7444691263672225,0.02171336897209386
213,2020-11-04,0.001,38.97,37.44,0.04086538461538465,0.03986538461538465,-0.7342822898087467,0.039091266905654454
214,2020-11-05,0.001,38.56,38.97,-0.010520913523222904,-0.011520913523222903,-0.7373436005694489,-0.011587793422004555
215,2020-11-06,0.001,36.97,38.56,-0.041234439834024986,-0.04223443983402499,-0.7484367464682202,-0.04315224894919778
216,2020-11-09,0.0011,40.05,36.97,0.08331079253448738,0.08221079253448738,-0.7277555320228184,0.07900597894935157
217,2020-11-10,0.001,41.18,40.05,0.02821473158551817,0.027214731585518168,-0.7203464719011772,0.02685099534752644
218,2020-11-11,0.001,41.23,41.18,0.0012141816415735104,0.00021418164157351038,-0.7202865752494572,0.00021415870796026582
219,2020-11-12,0.001,40.9,41.23,-0.008003880669415434,-0.009003880669415435,-0.7228050815475446,-0.009044660572445684
220,2020-11-13,0.0009,39.93,40.9,-0.02371638141809288,-0.024616381418092883,-0.7296286173873274,-0.024924430411591647
221,2020-11-16,0.0009,41.14,39.93,0.030303030303030325,0.029403030303030323,-0.7216788794312947,0.028979051988771376
222,2020-11-17,0.0009,41.24,41.14,0.0024307243558580804,0.0015307243558580804,-0.7212528465132906,0.0015295539915154421
223,2020-11-18,0.0009,41.64,41.24,0.009699321047526637,0.008799321047526638,-0.7188000608186769,0.00876083263853511
224,2020-11-19,0.0007000000000000001,41.57,41.64,-0.0016810758885686908,-0.0023810758885686907,-0.7194696192137284,-0.002383915157667449
